rule_id,schema_version,rule_type,primary_event,required_detection_fields,validated_alert_count,status
WMAI-001,1.1.0,query,policy_violation,event.dataset|event.action|watchmyai.policy.violation.type,32,validated
WMAI-002,1.1.0,query,policy_violation,event.dataset|event.action|watchmyai.policy.violation.type|watchmyai.tool.category,64,validated
WMAI-007,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,1,validated
WMAI-009,1.1.0,query,policy_violation,event.dataset|event.action|watchmyai.policy.violation.type,83,validated
WMAI-022,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|watchmyai.tool.arguments.file_path|process.command_line,16,validated
WMAI-023,ECS,threshold,file,event.category|event.type|process.entity_id,20,validated
WMAI-024,ECS,threshold,file,event.category|event.type|process.entity_id,21,validated
WMAI-025,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.file_path|watchmyai.tool.name,328,validated
WMAI-030,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,5,validated
WMAI-048,1.1.0,threshold,policy_violation,event.dataset|event.action|watchmyai.session.id,31,validated
WMAI-051,1.1.0,query,policy_violation,event.dataset|event.action|watchmyai.policy.violation.type,113,validated
WMAI-053,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,2,validated
WMAI-054,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|watchmyai.tool.arguments.file_path|process.command_line,4,validated
WMAI-055,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command,1,validated
WMAI-057,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|watchmyai.tool.arguments.file_path|process.command_line,1,validated
WMAI-058,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,7,validated
WMAI-059,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,2,validated
WMAI-060,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,28,validated
WMAI-061,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,15,validated
WMAI-063,1.1.0,query,tool_request,event.dataset|event.action|watchmyai.tool.arguments.command|process.command_line,5,validated
